Week,Teaching focus,Learning activities / content,Tools / resources,Assessment / checkpoint,Unit code,Unit title,,
1,Basic web development with LLM support,"• Use Copilot to help build a multi-file web app.
• Set up VS Code with Live Preview.
• Learn HTML5 structure, start tags, content, end tags, headings, paragraphs, bold, italic, horizontal rules, nested elements, divs and spans.
• Link CSS in three ways: inline, internal, and external.
• Use element, ID, and class selectors.
• Write CSS rules with a selector, property, value, and line ending.","• VS Code with Live Preview
• W3Schools HTML + CSS tutorials
• Copilot Web","• Activity:
  • create a working two-page HTML and CSS cafe site with linked pages and at least three selector types.

• Takeaway:
  • push the cafe website activity to GitHub and submit the GitHub link through the Checkpoint site.
  • Include Home and Menu pages, images, navigation, headings, sections, and external CSS.",ICTWEB527,Research and apply emerging web technology trends,,
2,Basic web development: JavaScript,"• Learn JavaScript basics: variables, if/else, for loops, functions, events, load order, JavaScript libraries, Bootstrap, and AI context.
• Add simple interaction to a web page and break repeated code into functions.","• VS Code with Live Preview
• W3Schools JavaScript tutorials
• Copilot Web","• Activity:
  • demonstrate one working JavaScript interaction and explain the event, function, and variables used.

• Takeaway:
  • push the improved cafe site to GitHub and submit the GitHub link through the Checkpoint site.
  • Add one Bootstrap component and one custom JavaScript feature.",ICTWEB521,Customise complex ICT content management systems,,
3,AI tools and agent workflows,"• Explore how AI can be used as more than a chatbot.
• Use AI tools and agents to plan and complete small coding tasks.
• Practise writing clear prompts and keeping token use low.","• OpenCode
• Big Pickle
• Copilot Web","• Activity:
  • complete or plan a small agent-assisted coding task and save the prompts used.

• Takeaway:
  • push the activity to GitHub and submit the GitHub link through the Checkpoint site.
  • Add a short reflection on how agents can help web development and one risk to watch for.",ICTPRG535,Build advanced user interfaces,,
4,To be confirmed,"• Use this week to catch up, troubleshoot, and extend skills from HTML, CSS, JavaScript, and AI tools.",,"• Activity:
  • complete an individual progress check for Weeks 1 to 3 skills.

• Takeaway:
  • push the cleaned-up portfolio folder to GitHub and submit the GitHub link through the Checkpoint site.",,,,
5,Web architecture,"• Learn how data moves from Data to API to Front End.
• Connect MockAPI or DummyJSON to a front end.
• Build a login page using HTML, CSS, JavaScript, and fetch.","• DummyJSON
• MockAPI
• Fetch API","• Activity:
  • create a front end that fetches and displays data from DummyJSON or MockAPI.

• Takeaway:
  • push the API display activity to GitHub and submit the GitHub link through the Checkpoint site.
  • Show at least five records in cards, a list, or a table.",,,,
6,Web architecture and rendering,"• Learn the idea of server-side rendering, frameworks, and how to improve a login page.
• Improve layout, validation messages, labels, and visual design.","• Next.js docs/examples
• Login page examples","• Activity:
  • improve the login page with validation and accessible labels.

• Takeaway:
  • push the redesigned login page to GitHub and submit the GitHub link through the Checkpoint site.
  • Include a short before and after note.",,,,
7,Next.js foundations,"• Start a Next.js project.
• Learn the app structure, TypeScript basics, reusable components, static routes, dynamic routes, and shared layouts.","• Next.js
• TypeScript","• Activity:
  • create a Next.js app with two static routes, one dynamic route, and a shared layout.

• Takeaway:
  • push the mini portfolio or product catalogue to GitHub and submit the GitHub link through the Checkpoint site.",,,,
8,Next.js events and state,"• Use events, arrow functions, and React state.
• Build small interactive components such as counters, toggles, filters, favourites, or simple forms.","• Next.js
• React hooks","• Activity:
  • build a component where the screen changes when the user interacts with it.

• Takeaway:
  • push the updated Next.js project to GitHub and submit the GitHub link through the Checkpoint site.
  • Add two interactive features and comments explaining the state and events.",,,,
9,Practice assessment,"• Complete a timed practice task that combines components, routing, styling, state, and basic data handling.
• Practise reading requirements, planning work, and testing.",,"• Activity:
  • submit the practice assessment attempt and complete a self-check against the marking criteria.

• Takeaway:
  • push the practice task to GitHub and submit the GitHub link through the Checkpoint site.
  • Revise weak areas and bring questions for assessment week.",,,,
10,Assessment,"• Complete the formal assessment task using HTML, CSS, JavaScript, AI-supported development, and Next.js skills.",,"• Assessment:
  • complete and submit the required assessment evidence.

• Takeaway:
  • push final evidence to GitHub where required and submit the GitHub link through the Checkpoint site.
  • Add screenshots, notes, or reflection if required.",,,,
